"_id","intrimStatus.startTime","applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.dateOpenedOrDisbursed","applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.dateClosed","applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.accountType"
"80556000091","{""$date"":""2020-07-28T07:09:56.447Z""}",,,
"3020CD0125031","{""$date"":""2020-07-28T07:09:52.866Z""}",,,
"45903003582","{""$date"":""2020-07-28T07:09:52.793Z""}",,,
"77844000370","{""$date"":""2020-07-28T07:09:52.765Z""}",,,
"25216001283","{""$date"":""2020-07-28T07:09:49.563Z""}",,,
"3006CD0076109","{""$date"":""2020-07-28T07:09:47.595Z""}",,,
"77881000309","{""$date"":""2020-07-28T07:09:46.717Z""}",,,
"84215000101","{""$date"":""2020-07-28T07:09:43.485Z""}",,,
"3054CD0291465","{""$date"":""2020-07-28T07:09:43.077Z""}",,,
"67837000949","{""$date"":""2020-07-28T07:09:40.569Z""}","30072016","14082018","13"
"67837000949","{""$date"":""2020-07-28T07:09:40.569Z""}",,,
"3021CD0119293","{""$date"":""2020-07-28T07:09:40.172Z""}",,,
"67886000369","{""$date"":""2020-07-28T07:09:39.327Z""}",,,
"3019CD0091239","{""$date"":""2020-07-28T07:09:38.420Z""}",,,
"3000CD0172049","{""$date"":""2020-07-28T07:09:38.165Z""}",,,
"73585000101","{""$date"":""2020-07-28T07:09:37.494Z""}",,,
"45669000441","{""$date"":""2020-07-28T07:09:36.885Z""}",,,
"28911006216","{""$date"":""2020-07-28T07:09:36.776Z""}","23062020",,"07"
"28911006216","{""$date"":""2020-07-28T07:09:36.776Z""}","17102019","29102019","07"
"28911006216","{""$date"":""2020-07-28T07:09:36.776Z""}","15052019","17102019","07"
"28911006216","{""$date"":""2020-07-28T07:09:36.776Z""}",,,
"76604000062","{""$date"":""2020-07-28T07:09:34.439Z""}",,,
"75448000363","{""$date"":""2020-07-28T07:09:33.267Z""}",,,
"58150000324","{""$date"":""2020-07-28T07:09:29.571Z""}",,,
"3007CD0131496","{""$date"":""2020-07-28T07:09:28.446Z""}",,,
