,mo_diff_ld_drc,intPayHistComp
0,23,"[0, 0, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0]"
1,1,"[0, -1, -1, -1]"
2,9,"[0, -1, -1, -1]"
3,9,"[0, 0, 0, 0, -1, 0, -1, -1, -1]"
4,-1,"[-1, -1, -1, -1, -1]"
5,54,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
6,68,"[-1, -1, -1, -1, -1, -1, -1, -1]"
7,2,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
8,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
9,2,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
10,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
11,8,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
12,-1,"[-1, -1, -1, -1, -1]"
13,-1,"[-1, -1, -1, -1, -1]"
14,-1,"[-1, -1, -1, -1, -1]"
15,3,"[117, 0, 0, 0, 0, 0, -1, -1, -1]"
16,2,"[0, 0, 0, -1, -1, -1]"
17,2,"[0, 0, 0, 21, 23, 0, -1, -1, -1]"
18,8,"[0, 0, -1, -1, -1]"
19,9,"[0, 0, 0, 0, -1, -1, -1]"
20,11,"[0, -1, -1, -1]"
21,11,"[0, -1, -1, -1]"
22,11,"[0, -1, -1, -1]"
23,11,"[0, 0, 0, -1, -1, -1]"
24,12,"[0, -1, -1, 0, -1, -1, -1]"
25,1,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
26,10,"[0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
27,2,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,37,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, 0]"
30,46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,-1,"[-1, -1, -1, -1, -1]"
32,-1,"[-1, -1, -1, -1, -1]"
33,-1,"[-1, -1, -1, -1, -1]"
34,2,"[272, 241, 211, 180, 151, 120, 89, 59, 28, 29, 29, 28, 0, -1, -1, -1]"
35,20,"[0, -1, 0, -1, -1, -1]"
36,20,"[0, -1, 0, -1, -1, -1]"
37,20,"[0, -1, 0, 6, -1, -1, -1]"
38,20,"[-1, 201, 170, 123, 92, 61, 61, 61, 59, 28, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
39,1,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
40,-1,"[-1, -1, -1, -1, -1]"
41,2,"[28, 27, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
42,1,"[0, 0, 0, 0, -1, -1, -1]"
43,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
44,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
45,-1,"[-1, -1, -1, -1, -1]"
46,-1,"[-1, -1, -1, -1, -1]"
47,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
48,72,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 90, 30, 30, 30, 30, 30]"
49,2,"[27, 88, 58, 27, 0, 151, 120, 90, 59, 29, 0, 0, 0, 0, -1, -1, -1]"
50,3,"[26, 0, 0, 0, -1, -1, -1]"
51,1,"[0, 8, -1, -1, 0, -1, 0, 0, 0, 0, -1, 5, -1, 0, -1, -1, -1]"
52,43,"[0, 0, 0, 0, 85, 54, 24, 24, 23, 24, 23, 24, 0, -1, -1, -1]"
53,-1,"[-1, -1, -1, -1, -1]"
54,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
55,1,"[0, 0, 0, 0, 0, 0, 0, 88, 89, 58, 28, 0, 0, 0, 0, 13, -1, -1, -1]"
56,1,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
58,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
