_id,applicantComponentResponse.multiBureauJsonRespose.finishedList.responseJsonObject.accountList.dateOpenedOrDisbursed,applicantComponentResponse.multiBureauJsonRespose.finishedList.bureau
80556000091,,
3020CD0125031,,
45903003582,,
77844000370,,
25216001283,,
3006CD0076109,,
77881000309,,HIGHMARK
84215000101,,HIGHMARK
3054CD0291465,,
67837000949,30072016,CIBIL
67837000949,,HIGHMARK
3021CD0119293,,
67886000369,,HIGHMARK
3019CD0091239,,
3000CD0172049,,
73585000101,,HIGHMARK
45669000441,,HIGHMARK
28911006216,23062020,CIBIL
28911006216,17102019,CIBIL
28911006216,15052019,CIBIL
28911006216,,HIGHMARK
76604000062,,HIGHMARK
75448000363,,HIGHMARK
58150000324,,HIGHMARK
3007CD0131496,,
90223000009,,HIGHMARK
37968003562,,HIGHMARK
76331000388,,HIGHMARK
60133000341,,HIGHMARK
3110CD0078312,,
59802001090,,HIGHMARK
87375000108,,CIBIL
87375000108,,HIGHMARK
33090002908,28112014,CIBIL
33090002908,20112013,CIBIL
33090002908,,HIGHMARK
47982003991,13102019,CIBIL
47982003991,23012019,CIBIL
47982003991,,HIGHMARK
28749004565,03122019,CIBIL
28749004565,27112019,CIBIL
28749004565,27112018,CIBIL
28749004565,,HIGHMARK
843731420000193,,CIBIL
843731420000193,,HIGHMARK
3029CD0273213,,CIBIL
57029000821,,HIGHMARK
63346000266,,HIGHMARK
3054CD0291466,,CIBIL
64093000505,02112019,CIBIL
64093000505,21032020,CIBIL
64093000505,07122019,CIBIL
64093000505,02102019,CIBIL
64093000505,02092019,CIBIL
64093000505,17082019,CIBIL
64093000505,02082019,CIBIL
64093000505,24072019,CIBIL
64093000505,02072019,CIBIL
64093000505,02062019,CIBIL
64093000505,21012019,CIBIL
64093000505,12102018,CIBIL
64093000505,24032018,CIBIL
64093000505,12092017,CIBIL
64093000505,12112016,CIBIL
64093000505,29082014,CIBIL
64093000505,,HIGHMARK
735491420000022,,CIBIL
735491420000022,,HIGHMARK
71644002112,,HIGHMARK
87511000102,,CIBIL
87511000102,,HIGHMARK
37847005249,,HIGHMARK
27876003952,,CIBIL
27876003952,,HIGHMARK
63793000586,,HIGHMARK
3009CD0173042,,
67209000150,,HIGHMARK
82884000083,,HIGHMARK
26539000493,,HIGHMARK
58881000783,,HIGHMARK
3061CD0134439,,
64992001062,09052019,CIBIL
64992001062,16112018,CIBIL
64992001062,14112018,CIBIL
64992001062,10102018,CIBIL
64992001062,,HIGHMARK
84850000321,,HIGHMARK
50396000247,,HIGHMARK
81554000135,,HIGHMARK
3020CD0125036,,
3020CD0125037,29082017,CIBIL
3020CD0125037,14012020,CIBIL
26026011937,,HIGHMARK
3025CD0170520,,
90777000079,,HIGHMARK
83557000149,,HIGHMARK
34450001694,,HIGHMARK
29339000222,,HIGHMARK
3054CD0291436,,
3054CD0291459,,CIBIL
48778000640,,HIGHMARK
46579003204,07082019,CIBIL
46579003204,10032020,CIBIL
46579003204,14032019,CIBIL
46579003204,22102018,CIBIL
46579003204,,HIGHMARK
822921420000046,,CIBIL
822921420000046,,HIGHMARK
86311000018,,HIGHMARK
3078CD0357073,,CIBIL
3004CD0129003,,
64441000103,,HIGHMARK
68461000630,,HIGHMARK
78796000251,,HIGHMARK
43265001013,08052019,CIBIL
43265001013,,HIGHMARK
35247000598,,HIGHMARK
86997000036,,HIGHMARK
